Groups	Colors	dnaB	dnaG	dnaN	dnaQ	dnaX	gyrA	gyrB	holA	holB	hupA	deaD	nusA	rpoA	rpoB
Group 33	Escherichia	0	0	0.954545455	0.954545455	1	0	0.681818182	0.045454545	0.363636364	0	0	0.045454545	0	0
Group 33	Escherichia	0.34375	0	0.90625	0.9375	0.125	0.375	0.375	0	0.09375	0.25	0.25	0.25	0	0.09375
Group 33	Escherichia	0	1	1	1	0	0	1	0	1	0	0	0	0	0
Group 33	Escherichia	0.5	0	1	1	0	0	0	0	0.5	0	0	0	0	0
Group 33	Escherichia	0	0.5	1	1	0.5	0.25	0.75	0	1	0	0	0.5	0	0
Group 33	Escherichia	0	0	1	1	1	0	0	0	1	1	1	1	0	0
Group 33	Escherichia	0	0	1	1	0.5	0	1	0	0	0	0	0	0	0
Group 33	Escherichia	0.5	0.5	0.75	1	0.5	1	0.75	0	1	0.5	0.5	0.25	0	0
Group 33	Escherichia	0	1	1	1	0.5	0	0	0	1	0	0	0	0	0.5
Group 2	Vibrio	0	0.375	0.75	1	0.875	0.25	0.25	0	1	0	0	0	0	0.125
Group 2	Vibrio	1	0	1	1	1	0	1	0	1	0	0	0	0	0
Group 2	Vibrio	0	1	1	1	0	1	1	0	0	0	0	0	0	0
Grupo 14	Vibrio	1	1	0	1	1	1	0	0	1	0	0	0	0	1
Grupo 14	Vibrio	0.583333333	0.333333333	0.333333333	1	1	0.833333333	0	0	0.833333333	0	0	0.083333333	0	0
Grupo 14	Vibrio	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Grupo 14	Vibrio	0.5	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0
Grupo 14	Vibrio	0.333333333	0	1	0.666666667	1	1	1	0	0.666666667	0	0	0	0	0
Grupo 14	Vibrio	0.529411765	0.352941176	0.823529412	1	0.588235294	1	0.058823529	0.117647059	0.235294118	0.294117647	0.352941176	0.176470588	0.058823529	0.176470588
Group 2	Vibrio	0.7	0.9	0.9	0.8	0.9	1	0.1	0	0	0.7	0.5	0.8	0	0.1
Group 2	Vibrio	0.533333333	0.366666667	0.633333333	0.933333333	0.7	0.333333333	0.466666667	0	0.433333333	0.533333333	0.333333333	0.5	0	0.1
Group 12	Staphylococcus	0.163636364	0.063636364	0.754545455	0.954545455	0.018181818	0.472727273	0.463636364	0.081818182	0.236363636	0.245454545	0.354545455	0.309090909	0	0.063636364
Group 12	Staphylococcus	0	0	0.25	1	0.75	0.75	0	0	0.25	0	0	0	0	0
Group 18	Staphylococcus	0.444444444	0.333333333	0.111111111	0.888888889	0.666666667	0.444444444	0.222222222	0.333333333	0.333333333	0	0	0	0	0
Group 18	Staphylococcus	0.833333333	0.666666667	0.666666667	1	0.833333333	1	0.333333333	0.666666667	0	0.666666667	0.666666667	0.666666667	0	0.5
Group 18	Staphylococcus	0.111111111	0.555555556	0.333333333	1	0.888888889	0.777777778	0.111111111	0.222222222	0	0	0	0	0	0
Group 18	Staphylococcus	0	0	0	1	1	0.166666667	0	0	0	0.5	0.833333333	0.333333333	0	0.166666667
Group 18	Staphylococcus	0.176470588	0.176470588	0.235294118	0.882352941	0.529411765	1	0.176470588	0	0	0.117647059	0.058823529	0.176470588	0	0.117647059
Group 18	Staphylococcus	0.510204082	0.224489796	0.795918367	0.959183673	0.87755102	0.571428571	0.265306122	0.06122449	0.367346939	0.428571429	0.224489796	0.551020408	0	0.12244898
Group 18	Staphylococcus	0.52	0.28	0.8	0.72	0.92	0.56	0.04	0.2	0.28	0.36	0.48	0.24	0.04	0
Group 18	Staphylococcus	0	0.7	0.9	0.8	0.9	0.8	1	0	0	0.2	0.2	0.3	0	0